AGI number	Compartment
AT1G04080	Cytosol
AT1G05850	Golgi
AT1G07630	others
AT1G08520	others
AT1G10390	Nucleus
AT1G12840	Vacuole
AT1G13120	Nucleus
AT1G14850	Nucleus
AT1G15130	LateEndosome
AT1G15370	PM
AT1G15820	Plastid
AT1G19150	Plastid
AT1G20260	Vacuole
AT1G20760	PM
AT1G21630	PM
AT1G24310	Nucleus
AT1G27650	Cytosol
AT1G29310	ER
AT1G29930	Plastid
AT1G30630	Golgi
AT1G31420	Nucleus
AT1G33410	others
AT1G43190	Cytosol
AT1G45474	Plastid
At1g45688	others
AT1G52360	Golgi
AT1G52380	Nucleus
AT1G59660	Nucleus
AT1G60200	Cytosol
AT1G60900	Cytosol
AT1G60970	Golgi
AT1G61520	Plastid
AT1G61690	LateEndosome
AT1G62020	Golgi
AT1G64200	Vacuole
AT1G64350	Nucleus
AT1G73030	LateEndosome
AT1G75340	Nucleus
AT1G76030	Vacuole
AT1G76570	Plastid
AT1G78900	Vacuole
AT1G79280	Nucleus
AT1G79940	ER
AT1G79990	Golgi
AT1G80670	Nucleus
AT1G80680	Nucleus
AT2G05070	Plastid
AT2G05100	Plastid
AT2G05120	Nucleus
AT2G06530	LateEndosome
AT2G07360	PM
AT2G19830	LateEndosome
AT2G20760	PM
AT2G21390	Golgi
AT2G21770	others
AT2G22125	others
AT2G25430	PM
AT2G27600	LateEndosome
AT2G30050	Nucleus
AT2G34100	others
AT2G34250	ER
AT2G34420	Plastid
AT2G34430	Plastid
AT2G34840	Golgi
AT2G35620	others
AT2G39810	Nucleus
AT2G40060	PM
AT2G40100	Plastid
AT2G41620	Nucleus
At2g41770	others
AT2G45000	Nucleus
AT2G45070	ER
AT2G47580	Cytosol
AT3G01150	Cytosol
AT3G01390	Vacuole
AT3G01780	PM
AT3G08530	PM
AT3G08550 	others
AT3G08560	Vacuole
AT3G08940	Plastid
AT3G09800	Golgi
AT3G10650	Nucleus
AT3G11130	PM
AT3G12400	LateEndosome
AT3G14120	Nucleus
AT3G15970	Nucleus
AT3G15980	Golgi
AT3G16310	Nucleus
AT3G20920	ER
AT3G22420	others
AT3G27690	Plastid
AT3G28715	Vacuole
AT3G32160	others
AT3G42050	Vacuole
AT3G47470	Plastid
AT3G48570	ER
AT3G50590	PM
AT3G50670	Cytosol
AT3G51890	PM
AT3G53120	LateEndosome
AT3G54890	Plastid
AT3G56900	Nucleus
At3g57420	others
AT3G58730	Vacuole
AT3G60540	ER
AT3G61470	Plastid
AT4G02620	Vacuole
AT4G05000	LateEndosome
AT4G10340	Plastid
AT4G11150	Vacuole
AT4G13420	others
AT4G16740	others
AT4G19003	LateEndosome
AT4G21180	ER
AT4G21560	LateEndosome
AT4G23710	Vacuole
AT4G24920	ER
AT4G25950	Vacuole
AT4G26710	Vacuole
AT4G27040	LateEndosome
AT4G29160	LateEndosome
AT4G30840	Nucleus
AT4G31480	Golgi
AT4G31490	Golgi
AT4G32285	PM
AT4G32410	others
AT4G32910	Nucleus
AT4G34450	Golgi
AT4G36690	Cytosol
AT4G36710	others
AT4G37130	Nucleus
AT4G38510	Vacuole
AT4G39350	others
AT5G01530	Plastid
AT5G04920	LateEndosome
AT5G05010	Golgi
AT5G05170	others
AT5G05680	Nucleus
AT5G09260	LateEndosome
AT5G09870	others
AT5G15550	others
AT5G16260	others
AT5G22950	LateEndosome
AT5G24710	PM
AT5G40480	Nucleus
AT5G42820	Cytosol
At5g42860	
AT5G46400	Cytosol
AT5G49720	others
AT5G50460	ER
AT5G51200	Nucleus
AT5G53180	Cytosol
AT5G54270	Plastid
AT5G54380	others
AT5G55290	Vacuole
AT5G57460	PM
AT5G60460	ER
AT5G60920	others
AT5G63880	LateEndosome
AT5G64740	others
ATMG00060	Mitochondrial
ATMG00070	Mitochondrial
ATMG00270	Mitochondrial
ATMG00285	Mitochondrial
ATMG00410	Mitochondrial
ATMG00510	Mitochondrial
ATMG00516	Mitochondrial
ATMG00580	Mitochondrial
ATMG00650	Mitochondrial
ATMG00990	Mitochondrial
ATMG01080	Mitochondrial
ATMG01190	Mitochondrial
